English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
afflict,xemgîn kirin,خه‌مگین کرن,بلاء,bela
afflict,dil êşandin,دل ئێشاندن,بلاء,bela
platinum,platîn,پلاتین,بلاتين,plateen
plasma,plazima,پلازما,بلازما,plazuma
blackboard,texta ‌reş,ته‌ختا ‌ره‌ش,بلاك بورد,texta ‌resh
Belgium,belcîka,بەلجیکا,بلجيكا,beljeeka
country,bajêrê mazin,باژێرێ مازن,بلد,"bazhêrê mazun , wellat"
country,wellat,وەڵات,بلد,"bazhêrê mazun , wellat"
city hall (of a big city),miḧafeze,محافەزە,بلدية,muḧafeze
city hall (of a province),"parêzgarî , bajêrvanî",پارێزگاری ، باژێرڤانى,بلدية,"parêzgaree , bazhêrvanee"
city hall (of a small city),qeymeqamî,قەیمەقامی,بلدية,qeymeqamee
bully,tirsandin,ترساندن,بلطجي,tursandun
bully,zordar,زۆردار,بلطجي,zordar
gently,bi hêminî,ب هێمنی,بلطف,bu ḧêmunee
Bulgaria,bulgarîya,بولگاریا,بلغاريا,bulgareeya
moisten,şil diket,شل دكەت,بلل,shul duket
Pluto,bilutu,بلوتو,بلوتو,bulutu
crystal,kirîstal,كریستال,بلور,kreestal
oak,berrû,به‌ڕوو,بلوط,berrû
build,ava kirin,ئاڤا کرن,بناء,ava krun
build,çêk kirin,چێك کرن,بناء,chêk krun
building,afahî,ئاڤاھی,بناء,afaḧee
construct,avakirin,ئاڤاکرن,بناء,avakrun
structure,avahîsazî,ئاڤاهیسازی,بناء,avaḧeesazee
structure,pêkhate,پێکهاته‌,بناء,pêkḧate
structure,dêsman,دێسمان,بناء,dêsman
mason,dirustiker,دروستكەر,بناء مھنة,durustuker
hazelnut,bindaq,بنداق,بندق,bundaq
hazelnut,findeq,فنده‌ق,بندق,bundaq
gun,ẍedare,غەدارە,بندقية,ẍedare
rifle,tifek,تفه‌ک,بندقية,tûk
impartially,bêalî,بێئالی,بنزاهة,bêalee
impartially,bêyi layengrî,بێی لایەنگری,بنزاهة,bêyu layengree
petrol,ptirol,پترۆل,بنزين,pturol
petrol,neft,نەفت,بنزين,neft
pants,penterun,پەنتەرون,بنطلون,penterun
trousers,pentirrun,پەنتڕون,بنطلون,penturrun
Bangladesh,bengladêş,بەنگلادێش,بنغلاديش,bengladêsh
by oneself,bixo,بخۆ,بنفسه,buxo
by oneself,cida,جدا,بنفسه,jda
bank,banik,بانك,بنك,banuk
pancreas,penikriyes,پەنکریەس,بنكرياس,penukruyes
brown,qehuwayî,قەھووایی,بنى,qeḧuwayee
architecture,avasazî,ئاڤاسازی,بنيان,"m'maree , telar sazee"
architecture,bînasazî,بیناسازی,بنيان,"m'maree , telar sazee"
architecture,mîmarî,میماری,بنيان,"m'maree , telar sazee"
in this manner,bi vî awayî,ب ڤی ئاوایی,بهذه الطريقة,bu vee awayee
delight,dil xuşî,دل خوشى,بھجة,dul xushee
quietly,hêdî,ھێدى,بھدوء,ḧêdee
janitor,"faraş , baqjker",فاراش ، باقژكەر,بواب,"farash , baqzhker"
gate,derigehî serekî,دەرگەھى سەرەكى,بوابة,derugeḧee serekee
portal,derîk,دەریك,بوابة,dereek
by,dabeş,دابەش,بواسطة,dabesh
via,wekî,وەكى,بواسطة,wekee
Hemorrhoids,bawesîr,باوه‌سیر,بواسير,baweseer
firstfruits,berhemê êkê,بەرهەمێ ئێكێ,بواكير الفاكهة,berḧemê êkê
firstfruits,xêve,خێڤه‌,بواكير الفاكهة,xêve
firstfruits,fêkiyên pêşîn,فێکیێن پێشین,بواكير الفاكهة,fêkyên pêsheen
botton,jêr,ژێر,بوتون,zhêr
clearly,a‌şkra‌,ئا‌شکرا‌,بوضوح,"a‌shkra‌ , bu zelalee"
clearly,bi zelalî,ب زه‌لالی,بوضوح,"a‌shkra‌ , bu zelalee"
obviously,aşkira,ئاشكرا,بوضوح,ashkra
trumpet,burrîzan,بوڕیزان,بوق,"burreezan, boreezhen"
trumpet,borîjen,بۆریژه‌ن,بوق,"burreezan, boreezhen"
trumpet,trompêt,ترۆمپێت,بوق,"burreezan, boreezhen"
Poland,polenda,پۆلەندا,بولندا,polenda
owl,"bum , bim , qirr",بوم ، بم ، قڕ,بومة,"bum , bum , qurr"
egg,hêk,هێک,بويضة,ḧêk
ovum,reḧim,ڕه‌حم,بويضة,reḧum
ovum,hêk,هێک,بويضة,ḧêk
environment,jîngeh,ژینگەھ,بيئة,zheengeḧ
petal,perê gulê,پەرێ گولێ,بيئة النبات,perê gulê
egg Whites,spîlka hêkê,سپیلكا ھێكێ,بياض البيض,speelka ḧêkê
statement,"aşkrakirin , danezanîn",ئاشکراکرن ، دانەزانین,بيان,"ashkrakrun , danezaneen"
piano,piyanu,پیانو,بيانو,puyanu
house,xanî,خانی,بيت,xanee
house,mal,مال,بيت,mal
web,"tevinok, tevin",ته‌ڤنۆک، ته‌ڤن,بيت العنكبوت,"tevunok, tevun"
Bethlehem,bêt leḧim,بێت لەحم,بيت لحم,bêt leḧum
threshing floor,bêder,بێده‌ر,بيدر,umbar
beer,bîre,بیرە,بيرة,beere
hydrogen Peroxide,oksicîn,ئوكسجین,بيروكسيد الھيدروجين,oksujeen
egg,hêk,ھێك,بيضة,ḧêk
oval,hêkî,چه‌میایی,بيضوي,ḧêlkeyee
oval,hêlkeyî,ھێلكەیى,بيضوي,ḧêlkeyee
sale,tenzîlat,ته‌نزیلات,بيع,dashkandun
sale,daşkandin,داشكاندن,بيع,dashkandun
sale,firotin,فرۆتن,بيع,dashkandun
retail,perakende,په‌راکه‌نده‌,بيع بالتجزئة,perakende
retail,firutinabikt,فروتنابكەت,بيع بالتجزئة,furutunabukt
between,navbera,ناڤبەرا,بين,navbera
inter,vedişêrît,ڤەدشێریت,بين,vedushêreet
ping pong,tenisa mêzê,تەنسا مێزێ,بينج بونج,tenusa mêzê
biological,zîndewerî,زیندەوەری,بيولوجي,zeendeweree
kurdish letter 04 (“p” sound),p,پ,پ,p
Peter,petrus,پەتروس,پەتروس,petrus
kurdish letter 05 (“t” sound),t,ت,ت,t
corrode,jengî bûn,ژه‌نگی بوون,تآكل,durêzh
corrosion,jengî,ژه‌نگی,تآكل,durêzh
come,"were , dihêt",وەرە ، دھێت,تأتي,"were , duḧêt"
come here,were vêrê,وەرە ڤێرێ,تأتي,were vêrê
come to walk,were piyasekê bikeyin,وەرە پیاسەکێ بکەین,تأتي على المشي,were puyasekê bukeyun
effect,bandûr,باندوور,تأثير,bandor
effect,bandor,باندۆر,تأثير,bandor
effect,kartêkirin,کارتێکرن,تأثير,kartêkrun
effect,hîkarî,هیکاری,تأثير,ḧeekaree
impact,lêdikevit,لێدكەڤت,تأثير,lêdukevut
influence,bandor,باندۆر,تأثير,bandor
influence,kartêkirin,کارتێکرن,تأثير,kartêkrun
influence,hîkarî,هیکاری,تأثير,ḧeekaree
hire,kirê diket,کرێ دکەت,تأجير,krê duket
postpone,"paş êxistin, paşxistin",پاش ئێخستن، پاشخستن,تأجيل,"pash êxustun, pashxustun"
postpone,tecîl kirin,ته‌جیل کرن,تأجيل,tejeel krun
take on,helgirîtin,ھەلگریتن,تأخذ على,ḧelgureetun
delay,"tacîl , paş êxistin",تاجیل ، پاش ئێخستن,تأخير,"tajeel , pash êxustun"
delay,"gîrukirin, gîrokirin",گیروكرن، گیرۆکرن,تأخير,"geerukrun, geerokrun"
establishing,damezirandin,دامه‌زراندن,تأسيس,"sazkrun, damezurandun"
establishing,sazkirin,سازکرن,تأسيس,"sazkrun, damezurandun"
shine,diteyst,دتەیست,تألق,duteyst
meditate,raman kirin,ڕامان کرن,تأمل,raman krun
meditate,kûr hizir kirin,کوور هزر کرن,تأمل,kûr ḧuzur krun
meditation,raman kirin,ڕامان کرن,تأمل,raman krun
meditation,kûr hizir kirin,کوور هزر کرن,تأمل,kûr ḧuzur krun
ponder,baş hizir diket,باش ھزر دكەت,تأمل,bash ḧuzur duket
ponder,raman kirin,ڕامان کرن,تأمل,raman krun
ponder,fikirîn,فکرین,تأمل,ḧuzur krun
ponder,hizir kirin,هزر کرن,تأمل,ḧuzur krun
nationalize,millî diket,مللى دكەت,تأميم,mullee duket
insurance,dabîn kirin,دابین كرن,تأمين,dabeen krun
qualified,bi serve,ب سەرڤە,تأهلت,"bu serve , lê ḧatee"
qualified,lê hatî,لێ هاتی,تأهلت,"bu serve , lê ḧatee"
qualify,rade kirin,ڕاده‌ کرن,تأھل,rade krun
qualify,jêhatî kirin,ژێهاتی کرن,تأھل,zhêḧatee krun
qualify,merc kirin,مه‌رج کرن,تأھل,merce krun
groan,nalîn,نالین,تأوه,naleen
affect,karîtêkirinê diket,كاریتێكرنێ دكەت,تؤثر,kareetêkrunê duket
affect,karger,کارگەر,تؤثر,karger
confirm,pesandkirin,په‌ساندکرن,تؤكد,pesandkrun
confirm,dupat kirin,دوپات کرن,تؤكد,dupat krun
confirm,"sedqandin, tesdîq",سه‌دقاندن، ته‌سدیق,تؤكد,"sedqandun, tesdeeq"
repentant,peşîman,په‌شیمان,تائب,lu xo zuvurreen
follow,bi dîv ketin,ب دیڤ کەتن,تابع,budweef dukeveet
follow,li peyi hatin,ل په‌ی هاتن,تابع,budweef dukeveet
follow,li dû çûn,ل دوو چوون,تابع,budweef dukeveet
follower,peyrew,په‌یره‌و,تابع,"peyrew, shopeener, mureed"
follower,dîvelank,دیڤه‌لانک,تابع,"peyrew, shopeener, mureed"
follower,şagird,شاگرد,تابع,shagurd
follower,şopîner,شۆپینه‌ر، مرید,تابع,"peyrew, shopeener, mureed"
follower,layengir,لایه‌نگر,تابع,"peyrew, shopeener, mureed"
follower,mirîd,مرید,تابع,"peyrew, shopeener, mureed"
ark of the covenant,sinduqa peymanê,سندوقا پەیمانێ,تابوت,sunduqa peymanê
crown,tac,تاج,تاج,taj
dealer,firuşiyar,فروشیار,تاجر,furushuyar
merchant,bazirgan,بازرگان,تاجر,"bazurgan, tajr"
merchant,tacir,تاجر,تاجر,"bazurgan, tajr"
take in,hewandin,هه‌واندن,تاخذ في,ḧewandun
date,jivan,ژڤان,تاريخ,zhuvan
date (day),tarîx,تاریخ,تاريخ,tareex
history,"tarîx , dîrok",تاریخ ، دیرۆک,تاريخ,"tareex , deerok"
history,mêjû,مێژوو,تاريخ,mêzhû
date syrup,duşav,دوشاڤ,تاريخ شراب,dushav
historical,mêjûyî,مێژوویی,تاريخي,mêzhûyee
ninth,nehem,نەھەم,تاسع,neḧem
trivial,abes,ئابه‌س,تافهة,abes
trivial,adî,ئادی,تافهة,adee
trivial,nemuhîm,نه‌موهیم,تافهة,nemuḧeem
petty,hur,ھور,تافھ,ḧur
Taiwan,taywan,تایوان,تايوان,taywan
exchange,veguhastin,ڤه‌گوهاستن,تبادل,"veguḧastun ,guḧareetun"
exchange,giharîtin,گھاریتن,تبادل,"veguḧastun ,guḧareetun"
interchange,pêk dighurît,پێك دگھوریت,تبادل,pêk dugḧureet
blessed be Abraham by God,"bereketdar bît abraham, ji layê xudê",بەرەکەتدار بیت ئەبراهام، ژ لایێ خودێ,تبارك إبراهيم الله,"bereketdar beet abraḧam, zhu layê xudê"
boast,şanazî,شانازی,تباھى,shanazê pêduket
boast,şanazê pêdiket,شانازێ پێدكەت,تباھى,shanazê pêduket
evaporation,helim bûn,هەلم بوون,تبخر,ḧelum bûn
evaporation,hellimbûn,هەڵمبوون,تبخر,ḧellumbûn
disown,qebûl nekirin,قه‌بوول نه‌کرن,تبرأ من,"qebûl nekrun , nas nekrun"
disown,nas nekirin,ناس نه‌کرن,تبرأ من,"qebûl nekrun , nas nekrun"
acquittal,beraatbûn,به‌رائاتبوون,تبرئة,beraatbûn
acquittal,bêsûc derketin,بێسووج ده‌رکه‌تن,تبرئة,bêsûce derketun
protrude,derxistin,ده‌رخستن,تبرز,pees krun
protrude,derketin,ده‌رکه‌تن,تبرز,pees krun
donate,xêr dan,خێر دان,تبرع,xêr dan
donate,xêr kirin,خێر کرن,تبرع,xêr krun
donation,bexşandin,بەخشاندن,تبرع,bexshandun
donation,xêrxwazî,خێرخوازی,تبرع,xêrxwazee
donation,xêrkirin,خێرکرن,تبرع,xêrkrun
simplification,asan kirin,ئاسان کرن,تبسيط,asan krun
simplification,sadekirin,ساده‌کرن,تبسيط,sadekrun
insight,israr kirin,ئسرار کرن,تبصر,"zêḧun, zuḧun"
insight,durbînî,دوربینى,تبصر,durbeenee
keep clean,paqjiyê bi parêze,پاقژیێ ب پارێزە,تبقى نظيفة,paqzhuyê bu parêze
cry sadly,velurand,ڤه‌لوراند,تبكي بحزن,velurand
hay,rîsiyan,ڕیسیان,تبن,"bushuyan, kara, tuwana"
hay,giyayê hişk,گیایێ هشک,تبن,"bushuyan, kara, tuwana"
adopt,balixuve,بالخوڤە,تبنى,baluxuve
consist,pêk dihêt,پێك دھێت,تتألف,pêk duḧêt
consist,pêk hatin,پێك هاتن,تتألف,pêk duḧêt
speak for yourself,beḧsê xo bike,بەحسێ خۆ بکە,تتحدث عن نفسك,beḧsê xo buke
decaying,genîbûn,گه‌نیبوون,تتحلل,peechduket
decompose,rizîn,ڕزین,تتحلل,ruzeen
turn upside down(dishes only),ser nuşîv kirin,سەر نوشیڤ کرن,تتحول رأسا على عقب (أطباق فقط),ser nusheev krun
take a bite,devê xo kirin,دەڤێ خۆ کرن,تتخذ لدغة,devê xo krun
take a bite,"gezek lêda , gezandin",گەزەك لێدا ، گه‌زاندن,تتخذ لدغة,"gezek lêda , gezandun"
degenerate,xirab,خراب,تتدهور,dereje
degenerate,xirabkirî,خرابکری,تتدهور,dereje
include,pêkhat,پێکھات,تتضمن,pêkḧat
take courage,mêranî kirin,مێرانی کرن,تتطلب الشجاعه,bê deng be
evolve,werar kirin,وه‌رار کرن,تتطور,werar krun
sympathize,"dilsozî kirin, hevdilî kirin",دلسۆزی کرن، هه‌ڤدلی کرن,تتعاطف,"dulsozee krun, ḧevdulee krun"
react,bertek dan,به‌رته‌ک دان,تتفاعل,berukar
react,bersivkirin,به‌رسڤکرن,تتفاعل,berukar
be done,bi cih bihêt,ب جھ بهێت,تتم,bu jḧ buḧêt
yawn,fedibît,فەدبیت,تثاءب,fedubeet
install,tetibît,تەتبیت,تثبيت,tetubeet
install,dadmezirînt,دادمەزرینت,تثبيت,dadmezureent
argue,angaştin,ئانگاشتن,تجادل,angashtun
argue,"pevçûn , cedel diket",پەڤچوون ، جەدەل دکەت ، گەنگەشەکرن,تجادل,"pevchûn , jedel duket"
argue,gengeşe kirin,گه‌نگه‌شه‌ کرن,تجادل,gengeshe krun
commerce,baziriganî,بازرگانى,تجارة,bazuruganee
trade,"baziriganî , tixare",بازرگانى ، تخارە,تجارة,"bazuruganee , tuxare"
world trade,bazirganiya cîhanê,بازرگانیا جیھانێ,تجارة عالمية,bazurganuya jeeḧanê
discard,"avêtin, derxistin",ئاڤێتن، ده‌رخستن,تجاهل,"avêtun, derxustun"
discard,"havêtin, deyinatin",هاڤێتن، دەیناتن,تجاهل,"ḧavêtun, deyunatun"
towards,beref,بەرەف,تجاھ,beref
ignore,xutênagehînt,خوتێناگەھینت,تجاھل,xutênageḧeent
outrun,berî rakirin,به‌ری ڕاکرن,تجاوز,meturusee duket
overrun,pêş dibezt,پێش دبەزت,تجاوز,pêsh dubezt
overtake,berî rakirin,به‌ری ڕاکرن,تجاوز,meturusee duket
overtake,digeht,دگەھت,تجاوز,dugeḧt
surpass,borîn,بۆرین,تجاوز,boreen
surpass,derbasbûn,ده‌رباسبوون,تجاوز,derbasbûn
compel,sepandin,سه‌پاندن,تجبر,sepandun
compel,mecbûr kirin,مه‌جبوور کرن,تجبر,sepandun
oblige,ferbûn,فه‌ربوون,تجبر,mejbur
oblige,neçar kirin,نه‌چار کرن,تجبر,mejbûr krun
renew,"nû kirin, nwîkirin",نوو کرن، نویکرن,تجديد,"nû krun, nweekrun"
blaspheme,kufrî kirin,کوفری کرن,تجديف,kfree krun
blasphemy,kufirkirin,کوفرکرن,تجديف,kfurkrun
dare,wêriyan,وێریان,تجرؤ,busteḧ duket
dare,wêrîn,وێرین,تجرؤ,busteḧ duket
experience,şehrezayî,شەھرەزایی,تجربة,sheḧrezayee
experiment,tecrîbe,تەجریبە,تجربة,tejreebe
trial,azmûn,ئازموون,تجربة,azmûn
trial,ceribandin,جه‌رباندن,تجربة,jerubandun
trial,dadkirin,دادکرن,تجربة,dadkrun
trial,meḧkeme,مەحكەمە,تجربة,meḧkeme
espionage,casusî,جاسوسی,تجسس,ḧewar
spy,casûs,جاسووس,تجسس,jasûs
spy,sîxur,سیخور,تجسس,seexur
spy,muhabrat,موھابرات,تجسس,muḧabrat
spying,casusî,جاسوسی,تجسس,ḧewar
wrinkle,diqurimçînt,دقورمچینت,تجعد,duqurumcheent
wrinkle,diqurimçînt,قورمچین,تجعد,duqurumcheent
make a mistake,"xelet bîn , xelet kirin",خەلەت بین ، خەلەت کرن,تجعل من الخطأ,"xelet been , xelet krun"
dehydration,hişkkirin,هشککرن,تجفيف,derḧeq
freezing,cemidî,جەمدی,تجمد,jemudee
assemble,berhev kirin,به‌رهه‌ڤ کرن,تجمع,berḧev krun
assemble,"lêkdan , civandin",لێکدان ، جڤاندن,تجمع,"lêkdan , jvandun"
rally,kum dibin,كوم دبن,تجمع,km dubun
mob,bre miruvan,برە مروڤان,تجمھر,bre muruvan
beautify,xemilandin,خه‌ملاندن,تجميل,xemulandun
cosmetic,derimanê cwanikariyê,دەرمانێ جوانكاریێ,تجميلي,derumanê jwanukaruyê
avoid,xudit alekê,خودت ئالەكێ,تجنب,xudut alekê
avoid,xwe jê vedizîn,خوه‌ ژێ ڤه‌دزین,تجنب,xwe zhê veduzeen
avoid,vedizîn,ڤه‌دزین,تجنب,veduzeen
naturalize,siruştî kirin,سروشتی کرن,تجنس,surushtee krun
naturalize,welatî kirin,وه‌لاتی کرن,تجنس,welatee krun
recruit,gazî~kirin,گازی~کرن,تجنيد,gazee~krun
equip,amade bîn,ئامادە بین,تجهيز,amade been
wander,derbeder,دەربەدەر,تجول,derbeder
alliance,kumel,كومەل,تحالف,kmel
alliance,"li hev kirin, peyman, yekbûn",ل هه‌ڤ کرن، په‌یمان، یه‌کبوون,تحالف,"lu ḧev krun, peyman, yekbûn"
beneath,li bin,ل بن,تحت,lu bun
under,li jêr,ل ژێر,تحت,lubun
under,libin,لبن,تحت,lubun
underground,binerd,بنه‌رد,تحت الأرض,bunerd
underground,nepenî,نه‌په‌نی,تحت الأرض,nepenee
under fire,rexinegirîtin,رەخنەگریتن,تحت الضغط في وضع حرج,rexunegureetun
underfoot,binpê,بنپێ,تحت القدمين,grtuyan
in process,berdeste,بەردەستە,تحت المعالجة,berdeste
